item.id;sentence;word.serial.no;word.id;morph.structure;number.morphemes;morphemes;stress.pos;stress.pos.syl;has.stress.variant;form.suff
;;339;огромному;(-огромн- (корень), -ому (окончание));2;(-огромн- (корень), -ому (окончание));4;2;;()
;;340;расходу;(рас- (приставка), -ход- (корень), -у (окончание));3;(рас- (приставка), -ход- (корень), -у (окончание));5;2;;()
;;341;воды;(-вод- (корень), -ы (окончание));2;(-вод- (корень), -ы (окончание));4;2;1;()
;;342;они;(-он- (корень), -и (окончание));2;(-он- (корень), -и (окончание));3;2;;()
;;343;купали;(-а (суффикс), -л (суффикс), -куп- (корень), -и (окончание));4;(-а (суффикс), -л (суффикс), -куп- (корень), -и (окончание));4;2;;(-а (суффикс), -л (суффикс))
;;344;слонов;(-слон- (корень), -ов (окончание));2;(-слон- (корень), -ов (окончание));5;2;;()
38;"Тому, кто желает невозможного, объяснят: ""Близок локоть, да не укусишь"".";345;тому;(-т- (корень), -ому (окончание));2;(-т- (корень), -ому (окончание));4;2;1;()
;;346;кто;(-кто- (корень));1;(-кто- (корень));3;1;;()
;;347;желает;(-а (суффикс), -жел- (корень), -ет (окончание));3;(-а (суффикс), -j (суффикс),-жел- (корень), -ет (окончание));4;2;;(-а (суффикс))
;;348;невозможного;(не- (приставка), воз- (приставка), -н (суффикс), -мож- (корень), -ого (окончание));5;(не- (приставка), воз- (приставка), -н (суффикс), -мож- (корень), -ого (окончание));7;3;;()
;;349;объяснят;(объ- (приставка), -ясн- (корень), -ят (окончание));3;(объ- (приставка), -ясн- (корень), -ят (окончание));7;3;;()
;;350;близок;(-ок (суффикс), -близ- (корень));2;(-ок (суффикс), -близ- (корень));3;1;;()
;;351;локоть;(-локоть- (корень));1;(-локоть- (корень));2;1;;()
;;352;да;(-да- (корень));1;(-да- (корень));2;1;;()
;;353;не;(-не- (корень));1;(-не- (корень));2;1;;()
;;354;укусишь;(у- (приставка), -и (суффикс), -кус- (корень), -шь (окончание));4;(у- (приставка), -и (суффикс), -кус- (корень), -шь (окончание));3;2;;(-и (суффикс))
39;Когда она в самолёте летела домой, читать не было сил.;355;когда;(-когда- (корень));1;(-когда- (корень));5;2;;()
;;356;она;(-он- (корень), -а (окончание));2;(-он- (корень), -а (окончание));3;2;;()
;;357;в;(-в- (корень));1;(-в- (корень));;;;()
;;358;самолёте;(-о- (интерфикс), -сам- (корень), -лёт- (корень), -е (окончание));4;(-о- (интерфикс), -сам- (корень), -лёт- (корень), -е (окончание));6;3;;()
;;359;летела;(-л (суффикс), -е (суффикс), -лет- (корень), -а (окончание));4;(-л (суффикс), -е (суффикс), -лет- (корень), -а (окончание));4;2;;(-л (суффикс), -е (суффикс))
;;360;домой;(-дом- (корень), -ой (суффикс));2;(-дом- (корень), -ой (суффикс));4;2;;()
;;361;читать;(-а (суффикс), -чит- (корень), -ть (суффикс));3;(-а (суффикс), -чит- (корень), -ть (суффикс));4;2;;(-а (суффикс),  -ть (суффикс))
;;362;не;(-не- (корень));1;(-не- (корень));2;1;;()
;;363;было;(-л (суффикс), -бы- (корень), -о (окончание));3;(-л (суффикс), -бы- (корень), -о (окончание));2;1;;(-л (суффикс))
;;364;сил;(-сил- (корень));1;(-сил- (корень));2;1;;()
40;Володя каким-то образом узнал то, чего ему не надо было знать.;365;володя;(-волод- (корень), -я (окончание));2;(-волод- (корень), -я (окончание));4;2;;()
;;366;каким-то;(-то (постфикс), -как- (корень), -им (окончание));3;(-то (постфикс), -как- (корень), -им (окончание));4;2;;()
;;367;образом;(-образ- (корень), -ом (окончание));2;(-образ- (корень), -ом (окончание));1;1;;()
;;368;узнал;(у- (приставка), -л (суффикс), -зна- (корень));3;(у- (приставка), -л (суффикс), -зна- (корень));4;2;;(-л (суффикс))
;;369;то;(-то- (корень));1;(-то- (корень));2;1;;()
;;370;чего;(-ч- (корень), -его (окончание));2;(-ч- (корень), -его (окончание));4;2;;()
;;371;ему;(-ему (окончание));1;(-j- (корень), -ему (окончание));3;2;;()
;;372;не;(-не- (корень));1;(-не- (корень));2;1;;()
;;373;надо;(-надо- (корень));1;(-надо- (корень));2;1;;()
;;374;было;(-л (суффикс), -бы- (корень), -о (окончание));3;(-л (суффикс), -бы- (корень), -о (окончание));2;1;;(-л (суффикс))
;;375;знать;(-зна- (корень), -ть (суффикс));2;(-зна- (корень), -ть (суффикс));3;1;;(-ть (суффикс))
41;Перед ним снова была прежняя Маша, которую он знал и любил.;376;перед;(-перед- (корень));1;(-перед- (корень));2;1;;()
;;377;ним;(-н- (корень), -им (окончание));2;(-н- (корень), -им (окончание));2;1;;()
;;378;снова;(с- (приставка), -а (суффикс), -нов- (корень));3;(с- (приставка), -а (суффикс), -нов- (корень));3;1;;()
;;379;была;(-л (суффикс), -бы- (корень), -а (окончание));3;(-л (суффикс), -бы- (корень), -а (окончание));4;2;;(-л (суффикс))
;;380;прежняя;(-н (суффикс), -преж- (корень), -яя (окончание));3;(-н (суффикс), -преж- (корень), -яя (окончание));3;1;;()
;;381;маша;(-маш- (корень), -а (окончание));2;(-маш- (корень), -а (окончание));4;2;;()
;;382;которую;(-котор- (корень), -ую (окончание));2;(-котор- (корень), -ую (окончание));4;2;;()
;;383;он;(-он- (корень));1;(-он- (корень));1;1;;()
;;384;знал;(-л (суффикс), -зна- (корень));2;(-л (суффикс), -зна- (корень));3;1;;(-л (суффикс))
;;385;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;386;любил;(-л (суффикс), -и (суффикс), -люб- (корень));3;(-л (суффикс), -и (суффикс), -люб- (корень));4;2;;(-л (суффикс), -и (суффикс))
42;Мне нравится сын коллеги, который недавно заходил в наш отдел.;387;мне;(-мн- (корень), -е (окончание));2;(-мн- (корень), -е (окончание));3;1;;()
;;388;нравится;(-ся (постфикс), -нрав- (корень), -ит (окончание));3;(-ся (постфикс), -нрав- (корень), -ит (окончание));3;1;;()
;;389;сын;(-сын- (корень));1;(-сын- (корень));2;1;;()
;;390;коллеги;(-коллег- (корень), -и (окончание));2;(-коллег- (корень), -и (окончание));5;2;;()
;;391;который;(-котор- (корень), -ый (окончание));2;(-котор- (корень), -ый (окончание));4;2;;()
;;392;недавно;(не- (приставка), -о (суффикс), -давн- (корень));3;(не- (приставка), -о (суффикс), -давн- (корень));4;2;;()
;;393;заходил;(за- (приставка), -л (суффикс), -и (суффикс), -ход- (корень));4;(за- (приставка), -л (суффикс), -и (суффикс), -ход- (корень));6;3;;(-л (суффикс), -и (суффикс))
;;394;в;(-в- (корень));1;(-в- (корень));;;;()
;;395;наш;(-наш- (корень));1;(-наш- (корень));2;1;;()
;;396;отдел;(от- (приставка), -дел- (корень));2;(от- (приставка), -дел- (корень));4;2;;()
43;У мамы есть подруга, которая живёт прямо напротив здания театра.;397;у;(-у- (корень));1;(-у- (корень));1;1;;()
;;398;мамы;(-мам- (корень), -ы (окончание));2;(-мам- (корень), -ы (окончание));2;1;;()
;;399;есть;(-ес- (корень), -ть (суффикс));2;(-ес- (корень), -ть (суффикс));1;1;;(-ть (суффикс))
;;400;подруга;(по- (приставка), -друг- (корень), -а (окончание));3;(по- (приставка), -друг- (корень), -а (окончание));5;2;;()
;;401;которая;(-котор- (корень), -ая (окончание));2;(-котор- (корень), -ая (окончание));4;2;;()
;;402;живёт;(-жив- (корень), -ёт (окончание));2;(-жив- (корень), -ёт (окончание));4;2;;()
;;403;прямо;(-о (суффикс), -прям- (корень));2;(-о (суффикс), -прям- (корень));3;1;;()
;;404;напротив;(на- (приставка), -против- (корень));2;(на- (приставка), -против- (корень));5;2;;()
;;405;здания;(-здани- (корень), -я (окончание));2;(-зданиj- (корень), -я (окончание));3;1;;()
;;406;театра;(-театр- (корень), -а (окончание));2;(-театр- (корень), -а (окончание));3;2;;()
44;Душа требовала красоты, и Николай Фомин украсил свой дом резьбой.;407;душа;(-душ- (корень), -а (окончание));2;(-душ- (корень), -а (окончание));4;2;1;()
;;408;требовала;(-л (суффикс), -ова (суффикс), -треб- (корень), -а (окончание));4;(-л (суффикс), -ова (суффикс), -треб- (корень), -а (окончание));3;1;;(-л (суффикс), -ова (суффикс))
;;409;красоты;(-от (суффикс), -крас- (корень), -ы (окончание));3;(-от (суффикс), -крас- (корень), -ы (окончание));7;3;1;()
;;410;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;411;николай;(-николай- (корень));1;(-николай- (корень));6;3;;()
;;412;фомин;(-фомин- (корень));1;(-фомин- (корень));2;1;;()
;;413;украсил;(у- (приставка), -л (суффикс), -и (суффикс), -крас- (корень));4;(у- (приставка), -л (суффикс), -и (суффикс), -крас- (корень));4;2;;(-л (суффикс), -и (суффикс))
;;414;свой;(-свой- (корень));1;(-свой- (корень));3;1;;()
;;415;дом;(-дом- (корень));1;(-дом- (корень));2;1;;()
;;416;резьбой;(-б (суффикс), -резь- (корень), -ой (окончание));3;(-б (суффикс), -резь- (корень), -ой (окончание));6;2;;()
45;За углом ― Морской музей, с бесчисленными моделями кораблей, старинных и современных.;417;за;(-за- (корень));1;(-за- (корень));2;1;;()
;;418;углом;(-угл- (корень), -ом (окончание));2;(-угл- (корень), -ом (окончание));4;2;;()
;;419;морской;(-ск (суффикс), -мор- (корень), -ой (окончание));3;(-ск (суффикс), -мор- (корень), -ой (окончание));6;2;;()
;;420;музей;(-музей- (корень));1;(-музей- (корень));4;2;;()
;;421;с;(-с- (корень));1;(-с- (корень));;;;()
;;422;бесчисленными;(бес- (приставка), -енн (суффикс), -числ- (корень), -ыми (окончание));4;(бес- (приставка), -енн (суффикс), -числ- (корень), -ыми (окончание));5;2;;()
;;423;моделями;(-модел- (корень), -ями (окончание));2;(-модел- (корень), -ями (окончание));4;2;;()
;;424;кораблей;(-корабл- (корень), -ей (окончание));2;(-корабл- (корень), -ей (окончание));7;3;;()
;;425;старинных;(-н (суффикс), -ин (суффикс), -стар- (корень), -ых (окончание));4;(-н (суффикс), -ин (суффикс), -стар- (корень), -ых (окончание));5;2;;()
;;426;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;427;современных;(со- (приставка), -ен (суффикс), -н (суффикс), -врем- (корень), -ых (окончание));5;(со- (приставка), -ен (суффикс), -н (суффикс), -врем- (корень), -ых (окончание));7;3;;()
46;Причиной аварии был мобильный телефон, который отвлекал водителя от дороги.;428;причиной;(-причин- (корень), -ой (окончание));2;(-причин- (корень), -ой (окончание));5;2;;()
;;429;аварии;(-авари- (корень), -и (окончание));2;(-авариj- (корень), -и (окончание));3;2;;()
;;430;был;(-л (суффикс), -бы- (корень));2;(-л (суффикс), -бы- (корень));2;1;;(-л (суффикс))
;;431;мобильный;(-н (суффикс), -мобиль- (корень), -ый (окончание));3;(-н (суффикс), -мобиль- (корень), -ый (окончание));4;2;;()
;;432;телефон;(-теле- (корень), -фон- (корень));2;(-теле- (корень), -фон- (корень));6;3;;()
;;433;который;(-котор- (корень), -ый (окончание));2;(-котор- (корень), -ый (окончание));4;2;;()
;;434;отвлекал;(от- (приставка), -л (суффикс), -а (суффикс), -влек- (корень));4;(от- (приставка), -л (суффикс), -а (суффикс), -влек- (корень));7;3;;(-л (суффикс), -а (суффикс))
;;435;водителя;(-тел (суффикс), -и (суффикс), -вод- (корень), -я (окончание));4;(-тел (суффикс), -и (суффикс), -вод- (корень), -я (окончание));4;2;;()
;;436;от;(-от- (корень));1;(-от- (корень));1;1;;()
;;437;дороги;(-дорог- (корень), -и (окончание));2;(-дорог- (корень), -и (окончание));4;2;1;()
47;Можно будет бросить дополнительные занятия, и даже школу можно бросить.;438;можно;(-о (суффикс), -н (суффикс), -мож- (корень));3;(-о (суффикс), -н (суффикс), -мож- (корень));2;1;;()
;;439;будет;(-буд- (корень), -ет (окончание));2;(-буд- (корень), -ет (окончание));2;1;;()
;;440;бросить;(-и (суффикс), -брос- (корень), -ть (суффикс));3;(-и (суффикс), -брос- (корень), -ть (суффикс));3;1;;(-и (суффикс),  -ть (суффикс))
;;441;дополнительные;(до- (приставка), -тельн (суффикс), -и (суффикс), -полн- (корень), -ые (окончание));5;(до- (приставка), -тельн (суффикс), -и (суффикс), -полн- (корень), -ые (окончание));7;3;;()
;;442;занятия;(-ти (суффикс), -заня- (корень), -я (окончание));3;(-тиj (суффикс), -заня- (корень), -я (окончание));4;2;;()
;;443;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;444;даже;(-даже- (корень));1;(-даже- (корень));2;1;;()
;;445;школу;(-школ- (корень), -у (окончание));2;(-школ- (корень), -у (окончание));3;1;;()
;;446;можно;(-о (суффикс), -н (суффикс), -мож- (корень));3;(-о (суффикс), -н (суффикс), -мож- (корень));2;1;;()
;;447;бросить;(-и (суффикс), -брос- (корень), -ть (суффикс));3;(-и (суффикс), -брос- (корень), -ть (суффикс));3;1;;(-и (суффикс),  -ть (суффикс))
48;Какие главные лекарства должны входить в аптечку автомобилиста?;448;какие;(-как- (корень), -ие (окончание));2;(-как- (корень), -ие (окончание));4;2;;()
;;449;главные;(-н (суффикс), -глав- (корень), -ые (окончание));3;(-н (суффикс), -глав- (корень), -ые (окончание));3;1;;()
;;450;лекарства;(-ств (суффикс), -ар (суффикс), -лек- (корень), -а (окончание));4;(-ств (суффикс), -ар (суффикс), -лек- (корень), -а (окончание));4;2;1;()
;;451;должны;(-н (суффикс), -долж- (корень), -ы (окончание));3;(-н (суффикс), -долж- (корень), -ы (окончание));2;1;;()
;;452;входить;(в- (приставка), -и (суффикс), -ход- (корень), -ть (суффикс));4;(в- (приставка), -и (суффикс), -ход- (корень), -ть (суффикс));5;2;;(-и (суффикс),  -ть (суффикс))
;;453;в;(-в- (корень));1;(-в- (корень));;;;()
;;454;аптечку;(-к (суффикс), -аптеч- (корень), -у (окончание));3;(-к (суффикс), -аптеч- (корень), -у (окончание));4;2;;()
;;455;автомобилиста;(-авто- (корень), -ист (суффикс), -мобил- (корень), -а (окончание));4;(-авто- (корень), -ист (суффикс), -мобил- (корень), -а (окончание));10;5;;()
49;На газовой плите стояла открытая кастрюля с кипящей водой.;456;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;457;газовой;(-ов (суффикс), -газ- (корень), -ой (окончание));3;(-ов (суффикс), -газ- (корень), -ой (окончание));2;1;;()
;;458;плите;(-плит- (корень), -е (окончание));2;(-плит- (корень), -е (окончание));5;2;;()
;;459;стояла;(-я (суффикс), -л (суффикс), -сто- (корень), -а (окончание));4;(-я (суффикс), -л (суффикс), -стоj- (корень), -а (окончание));4;2;;(-я (суффикс), -л (суффикс))
;;460;открытая;(от- (приставка), -т (суффикс), -кры- (корень), -ая (окончание));4;(от- (приставка), -т (суффикс), -кры- (корень), -ая (окончание));5;2;;(-т (суффикс))
;;461;кастрюля;(-кастрюл- (корень), -я (окончание));2;(-кастрюл- (корень), -я (окончание));6;2;;()
;;462;с;(-с- (корень));1;(-с- (корень));;;;()
;;463;кипящей;(-ящ (суффикс), -кип- (корень), -ей (окончание));3;(-ящ (суффикс), -кип- (корень), -ей (окончание));4;2;;(-ящ (суффикс))
;;464;водой;(-вод- (корень), -ой (окончание));2;(-вод- (корень), -ой (окончание));4;2;;()
50;Автор принадлежит к числу последних свидетелей страшных событий прошлого века.;465;автор;(-автор- (корень));1;(-автор- (корень));1;1;;()
;;466;принадлежит;(-принадлеж- (корень), -ит (окончание));2;(-принадлеж- (корень), -ит (окончание));10;4;;()
;;467;к;(-к- (корень));1;(-к- (корень));;;;()
;;468;числу;(-числ- (корень), -у (окончание));2;(-числ- (корень), -у (окончание));5;2;;()
;;469;последних;(-последн- (корень), -их (окончание));2;(-последн- (корень), -их (окончание));5;2;;()
;;470;свидетелей;(-тел (суффикс), -свиде- (корень), -ей (окончание));3;(-тел (суффикс), -свиде- (корень), -ей (окончание));5;2;;()
;;471;страшных;(-н (суффикс), -страш- (корень), -ых (окончание));3;(-н (суффикс), -страш- (корень), -ых (окончание));4;1;;()
;;472;событий;(-событий- (корень));1;(-событий- (корень));4;2;;()
;;473;прошлого;(про- (приставка), -л (суффикс), -ш- (корень), -ого (окончание));4;(про- (приставка), -л (суффикс), -ш- (корень), -ого (окончание));3;1;;()
;;474;века;(-век- (корень), -а (окончание));2;(-век- (корень), -а (окончание));2;1;1;()
51;На узкой лестнице сосед попросил нас говорить тише.;475;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;476;узкой;(-узк- (корень), -ой (окончание));2;(-узк- (корень), -ой (окончание));1;1;;()
;;477;лестнице;(-ниц (суффикс), -лест- (корень), -е (окончание));3;(-ниц (суффикс), -лест- (корень), -е (окончание));2;1;;()
;;478;сосед;(-сосед- (корень));1;(-сосед- (корень));4;2;;()
;;479;попросил;(по- (приставка), -и (суффикс), -л (суффикс), -прос- (корень));4;(по- (приставка), -и (суффикс), -л (суффикс), -прос- (корень));7;3;;(-и (суффикс), -л (суффикс))
;;480;нас;(-н- (корень), -ас (окончание));2;(-н- (корень), -ас (окончание));2;1;;()
;;481;говорить;(-и (суффикс), -говор- (корень), -ть (суффикс));3;(-и (суффикс), -говор- (корень), -ть (суффикс));4;2;;(-и (суффикс),  -ть (суффикс))
;;482;тише;(-е (суффикс), -тиш- (корень));2;(-е (суффикс), -тиш- (корень));2;1;;(-е (суффикс))
52;Этот роман захватывает читателя с первой страницы и держит до последней.;483;этот;(-этот- (корень));1;(-этот- (корень));1;1;;()
;;484;роман;(-роман- (корень));1;(-роман- (корень));4;2;;()
;;485;захватывает;(за- (приставка), -ыва (суффикс), -хват- (корень), -ет (окончание));4;(за- (приставка), -ыва (суффикс), -j (суффикс), -хват- (корень), -ет (окончание));5;2;;(-ыва (суффикс))
;;486;читателя;(-тел (суффикс), -а (суффикс), -чит- (корень), -я (окончание));4;(-тел (суффикс), -а (суффикс), -чит- (корень), -я (окончание));4;2;;()
;;487;с;(-с- (корень));1;(-с- (корень));;;;()
;;488;первой;(-перв- (корень), -ой (окончание));2;(-перв- (корень), -ой (окончание));2;1;;()
;;489;страницы;(-страниц- (корень), -ы (окончание));2;(-страниц- (корень), -ы (окончание));6;2;;()
;;490;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;491;держит;(-держ- (корень), -ит (окончание));2;(-держ- (корень), -ит (окончание));2;1;;()
;;492;до;(-до- (корень));1;(-до- (корень));2;1;;()
;;493;последней;(-последн- (корень), -ей (окончание));2;(-последн- (корень), -ей (окончание));5;2;;()
53;В вопросе послышался упрёк командиру, словно он был виновником происшедшего.;494;в;(-в- (корень));1;(-в- (корень));;;;()
;;495;вопросе;(-вопрос- (корень), -е (окончание));2;(-вопрос- (корень), -е (окончание));5;2;;()
;;496;послышался;(-ся (постфикс), по- (приставка), -л (суффикс), -а (суффикс), -слыш- (корень));5;(-ся (постфикс), по- (приставка), -л (суффикс), -а (суффикс), -слыш- (корень));5;2;;(-л (суффикс), -а (суффикс))
;;497;упрёк;(у- (приставка), -прёк- (корень));2;(у- (приставка), -прёк- (корень));4;2;;()
;;498;командиру;(-ир (суффикс), -команд- (корень), -у (окончание));3;(-ир (суффикс), -команд- (корень), -у (окончание));7;3;;()
;;499;словно;(-о (суффикс), -словн- (корень));2;(-о (суффикс), -словн- (корень));3;1;;()
;;500;он;(-он- (корень));1;(-он- (корень));1;1;;()
;;501;был;(-л (суффикс), -бы- (корень));2;(-л (суффикс), -бы- (корень));2;1;;(-л (суффикс))
;;502;виновником;(-ник (суффикс), -ов (суффикс), -вин- (корень), -ом (окончание));4;(-ник (суффикс), -ов (суффикс), -вин- (корень), -ом (окончание));4;2;;()
;;503;происшедшего;(проис- (приставка), -шедш- (корень), -его (окончание));3;(проис- (приставка), -шедш- (корень), -его (окончание));7;3;;()
54;В современном обществе семья и школа оказывают большое влияние на подростков.;504;в;(-в- (корень));1;(-в- (корень));;;;()
;;505;современном;(со- (приставка), -ен (суффикс), -н (суффикс), -врем- (корень), -ом (окончание));5;(со- (приставка), -ен (суффикс), -н (суффикс), -врем- (корень), -ом (окончание));7;3;;()
;;506;обществе;(-еств (суффикс), -общ- (корень), -е (окончание));3;(-еств (суффикс), -общ- (корень), -е (окончание));1;1;;()
;;507;семья;(-семь- (корень), -я (окончание));2;(-семь- (корень), -j (суффикс), -я (окончание));5;2;;()
;;508;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;509;школа;(-школ- (корень), -а (окончание));2;(-школ- (корень), -а (окончание));3;1;;()
;;510;оказывают;(-ыва (суффикс), -оказ- (корень), -ют (окончание));3;(-ыва (суффикс), -j (суффикс), -оказ- (корень), -ют (окончание));3;2;;(-ыва (суффикс))
;;511;большое;(-больш- (корень), -ое (окончание));2;(-больш- (корень), -ое (окончание));6;2;;()
;;512;влияние;(-ни (суффикс), -влия- (корень), -е (окончание));3;(-ниj (суффикс), -влия- (корень), -е (окончание));4;2;;()
;;513;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;514;подростков;(под- (приставка), -к (суффикс), -рост- (корень), -ов (окончание));4;(под- (приставка), -к (суффикс), -рост- (корень), -ов (окончание));5;2;;()
55;Этот студент получает только отличные оценки с самого первого семестра.;515;этот;(-этот- (корень));1;(-этот- (корень));1;1;;()
;;516;студент;(-студент- (корень));1;(-студент- (корень));5;2;;()
;;517;получает;(-а (суффикс), -получ- (корень), -ет (окончание));3;(-а (суффикс), -j (суффикс),-получ- (корень), -ет (окончание));6;3;;(-а (суффикс))
;;518;только;(-только- (корень));1;(-только- (корень));2;1;;()
;;519;отличные;(-н (суффикс), -отлич- (корень), -ые (окончание));3;(-н (суффикс), -отлич- (корень), -ые (окончание));4;2;;()
;;520;оценки;(о- (приставка), -к (суффикс), -цен- (корень), -и (окончание));4;(о- (приставка), -к (суффикс), -цен- (корень), -и (окончание));3;2;;()
;;521;с;(-с- (корень));1;(-с- (корень));;;;()
;;522;самого;(-сам- (корень), -ого (окончание));2;(-сам- (корень), -ого (окончание));2;1;1;()
;;523;первого;(-перв- (корень), -ого (окончание));2;(-перв- (корень), -ого (окончание));2;1;;()
;;524;семестра;(-семестр- (корень), -а (окончание));2;(-семестр- (корень), -а (окончание));4;2;;()
56;В числе возможных кандидатов называют депутата от партии правых.;525;в;(-в- (корень));1;(-в- (корень));;;;()
;;526;числе;(-числ- (корень), -е (окончание));2;(-числ- (корень), -е (окончание));5;2;;()
;;527;возможных;(воз- (приставка), -н (суффикс), -мож- (корень), -ых (окончание));4;(воз- (приставка), -н (суффикс), -мож- (корень), -ых (окончание));5;2;;()
;;528;кандидатов;(-кандидат- (корень), -ов (окончание));2;(-кандидат- (корень), -ов (окончание));7;3;;()
;;529;называют;(на- (приставка), -а (суффикс), -зыв- (корень), -ют (окончание));4;(на- (приставка), -а (суффикс), -j (суффикс), -зыв- (корень), -ют (окончание));6;3;;(-а (суффикс))
;;530;депутата;(-депутат- (корень), -а (окончание));2;(-депутат- (корень), -а (окончание));6;3;;()
;;531;от;(-от- (корень));1;(-от- (корень));1;1;;()
;;532;партии;(-парти- (корень), -и (окончание));2;(-партиj- (корень), -и (окончание));2;1;;()
;;533;правых;(-прав- (корень), -ых (окончание));2;(-прав- (корень), -ых (окончание));3;1;;()
57;Зачем ему звонить, если откликается спокойный женский голос?;534;зачем;(-зачем- (корень));1;(-зачем- (корень));4;2;;()
;;535;ему;(-ему (окончание));1;(-j- (корень), -ему (окончание));3;2;;()
;;536;звонить;(-и (суффикс), -звон- (корень), -ть (суффикс));3;(-и (суффикс), -звон- (корень), -ть (суффикс));5;2;;(-и (суффикс),  -ть (суффикс))
;;537;если;(-если- (корень));1;(-если- (корень));1;1;;()
;;538;откликается;(-ся (постфикс), от- (приставка), -а (суффикс), -клик- (корень), -ет (окончание));5;(-ся (постфикс), от- (приставка), -аj (суффикс), -j (суффикс),-клик- (корень), -ет (окончание));7;3;;(-а (суффикс))
;;539;спокойный;(-н (суффикс), -спокой- (корень), -ый (окончание));3;(-н (суффикс), -спокой- (корень), -ый (окончание));5;2;;()
;;540;женский;(-ск (суффикс), -жен- (корень), -ий (окончание));3;(-ск (суффикс), -жен- (корень), -ий (окончание));2;1;;()
;;541;голос;(-голос- (корень));1;(-голос- (корень));2;1;;()
58;Ирине досталась отдельная комната в двухкомнатной квартире.;542;ирине;(-ирин- (корень), -е (окончание));2;(-ирин- (корень), -е (окончание));3;2;;()
;;543;досталась;(-сь(постфикс), -л (суффикс), -доста- (корень), -а (окончание));4;(-сь(постфикс), -л (суффикс), -доста- (корень), -а (окончание));5;2;;(-л (суффикс))
;;544;отдельная;(от- (приставка), -н (суффикс), -дель- (корень), -ая (окончание));4;(от- (приставка), -н (суффикс), -дель- (корень), -ая (окончание));4;2;;()
;;545;комната;(-комнат- (корень), -а (окончание));2;(-комнат- (корень), -а (окончание));2;1;;()
;;546;в;(-в- (корень));1;(-в- (корень));;;;()
;;547;двухкомнатной;(-ух- (интерфикс), -н (суффикс), -дв- (корень), -комнат- (корень), -ой (окончание));5;(-ух- (интерфикс), -н (суффикс), -дв- (корень), -комнат- (корень), -ой (окончание));6;2;;()
;;548;квартире;(-квартир- (корень), -е (окончание));2;(-квартир- (корень), -е (окончание));6;2;;()
59;В тот момент атмосфера наших посиделок внезапно сильно изменилась.;549;в;(-в- (корень));1;(-в- (корень));;;;()
;;550;тот;(-тот- (корень));1;(-тот- (корень));2;1;;()
;;551;момент;(-момент- (корень));1;(-момент- (корень));4;2;;()
;;552;атмосфера;(-атмо- (корень), -сфер- (корень), -а (окончание));3;(-атмо- (корень), -сфер- (корень), -а (окончание));7;3;;()
;;553;наших;(-наш- (корень), -их (окончание));2;(-наш- (корень), -их (окончание));2;1;;()
;;554;посиделок;(по- (приставка), -е (суффикс), -к (суффикс), -л- (интерфикс), -сид- (корень), -о (окончание));6;(по- (приставка), -е (суффикс), -к (суффикс), -л- (интерфикс), -сид- (корень), -о (окончание));6;3;;(-е (суффикс), -л (суффикс))
;;555;внезапно;(-о (суффикс), -внезапн- (корень));2;(-о (суффикс), -внезапн- (корень));5;2;;()
;;556;сильно;(-о (суффикс), -н (суффикс), -силь- (корень));3;(-о (суффикс), -н (суффикс), -силь- (корень));2;1;;()
;;557;изменилась;(-сь(постфикс), из- (приставка), -и (суффикс), -л (суффикс), -мен- (корень), -а (окончание));6;(-сь(постфикс), из- (приставка), -и (суффикс), -л (суффикс), -мен- (корень), -а (окончание));6;3;;(-и (суффикс), -л (суффикс))
60;Товарищ генерал, противник пробрался на наш командный пункт!;558;товарищ;(-товарищ- (корень));1;(-товарищ- (корень));4;2;;()
;;559;генерал;(-генерал- (корень));1;(-генерал- (корень));6;3;;()
;;560;противник;(-ник (суффикс), -против- (корень));2;(-ник (суффикс), -против- (корень));5;2;;()
;;561;пробрался;(-ся (постфикс), про- (приставка), -л (суффикс), -а (суффикс), -бр- (корень));5;(-ся (постфикс), про- (приставка), -л (суффикс), -а (суффикс), -бр- (корень));6;2;;(-л (суффикс), -а (суффикс))
;;562;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;563;наш;(-наш- (корень));1;(-наш- (корень));2;1;;()
;;564;командный;(-н (суффикс), -команд- (корень), -ый (окончание));3;(-н (суффикс), -команд- (корень), -ый (окончание));4;2;;()
;;565;пункт;(-пункт- (корень));1;(-пункт- (корень));2;1;;()
61;Шею Лизы украшало ожерелье стоимостью в 15 тысяч долларов.;566;шею;(-ше- (корень), -ю (окончание));2;(-шеj- (корень), -ю (окончание));2;1;;()
;;567;лизы;(-лиз- (корень), -ы (окончание));2;(-лиз- (корень), -ы (окончание));2;1;;()
;;568;украшало;(у- (приставка), -л (суффикс), -а (суффикс), -краш- (корень), -о (окончание));5;(у- (приставка), -л (суффикс), -а (суффикс), -краш- (корень), -о (окончание));6;3;;(-л (суффикс), -а (суффикс))
;;569;ожерелье;(-ожерель- (корень), -е (окончание));2;(-ожерель- (корень), -j (суффикс), -е (окончание));5;3;;()
