"","char","letter","x1","y1","x2","y2","space","sent","line","word","word_line","line_char","wordID","char_word"
"1",0,"W",200,512,216,595,NA,1,1,1,1,1,"While",1
"3",1,"h",216,512,232,595,NA,1,1,1,1,2,"While",2
"5",2,"i",232,512,248,595,NA,1,1,1,1,3,"While",3
"7",3,"l",248,512,264,595,NA,1,1,1,1,4,"While",4
"9",4,"e",264,512,280,595,NA,1,1,1,1,5,"While",5
"11",5,"",280,512,296,595,1,1,1,2,2,6,"the",0
"13",6,"t",296,512,312,595,NA,1,1,2,2,7,"the",1
"15",7,"h",312,512,328,595,NA,1,1,2,2,8,"the",2
"17",8,"e",328,512,344,595,NA,1,1,2,2,9,"the",3
"19",9,"",344,512,360,595,1,1,1,3,3,10,"boys",0
"21",10,"b",360,512,376,595,NA,1,1,3,3,11,"boys",1
"23",11,"o",376,512,392,595,NA,1,1,3,3,12,"boys",2
"25",12,"y",392,512,408,595,NA,1,1,3,3,13,"boys",3
"27",13,"s",408,512,424,595,NA,1,1,3,3,14,"boys",4
"29",14,"",424,512,440,595,1,1,1,4,4,15,"were",0
"31",15,"w",440,512,456,595,NA,1,1,4,4,16,"were",1
"33",16,"e",456,512,472,595,NA,1,1,4,4,17,"were",2
"35",17,"r",472,512,488,595,NA,1,1,4,4,18,"were",3
"37",18,"e",488,512,504,595,NA,1,1,4,4,19,"were",4
"39",19,"",504,512,520,595,1,1,1,5,5,20,"playing",0
"41",20,"p",520,512,536,595,NA,1,1,5,5,21,"playing",1
"43",21,"l",536,512,552,595,NA,1,1,5,5,22,"playing",2
"45",22,"a",552,512,568,595,NA,1,1,5,5,23,"playing",3
"47",23,"y",568,512,584,595,NA,1,1,5,5,24,"playing",4
"49",24,"i",584,512,600,595,NA,1,1,5,5,25,"playing",5
"51",25,"n",600,512,616,595,NA,1,1,5,5,26,"playing",6
"53",26,"g",616,512,632,595,NA,1,1,5,5,27,"playing",7
"55",27,"",632,512,648,595,1,1,1,6,6,28,"in",0
"57",28,"i",648,512,664,595,NA,1,1,6,6,29,"in",1
"59",29,"n",664,512,680,595,NA,1,1,6,6,30,"in",2
"61",30,"",680,512,696,595,1,1,1,7,7,31,"the",0
"63",31,"t",696,512,712,595,NA,1,1,7,7,32,"the",1
"65",32,"h",712,512,728,595,NA,1,1,7,7,33,"the",2
"67",33,"e",728,512,744,595,NA,1,1,7,7,34,"the",3
"69",34,"",744,512,760,595,1,1,1,8,8,35,"park,",0
"71",35,"p",760,512,776,595,NA,1,1,8,8,36,"park,",1
"73",36,"a",776,512,792,595,NA,1,1,8,8,37,"park,",2
"75",37,"r",792,512,808,595,NA,1,1,8,8,38,"park,",3
"77",38,"k",808,512,824,595,NA,1,1,8,8,39,"park,",4
"79",39,",",824,512,840,595,2,1,1,8,8,40,"park,",5
"81",40,"t",200,596,216,679,NA,1,2,9,1,1,"their",1
"83",41,"h",216,596,232,679,NA,1,2,9,1,2,"their",2
"85",42,"e",232,596,248,679,NA,1,2,9,1,3,"their",3
"87",43,"i",248,596,264,679,NA,1,2,9,1,4,"their",4
"89",44,"r",264,596,280,679,NA,1,2,9,1,5,"their",5
"91",45,"",280,596,296,679,1,1,2,10,2,6,"parents",0
"93",46,"p",296,596,312,679,NA,1,2,10,2,7,"parents",1
