relwn	lmod	dur
0.105263157894737	Line 1	194
0.111111111111111	Line 5	186.5
0.117647058823529	Line 2	187.6
0.117647058823529	Line 3	166
0.117647058823529	Line 4	193.714285714286
0.125	Line 1	193.607142857143
0.125	Line 2	205.454545454545
0.125	Line 3	161.111111111111
0.125	Line 4	228.666666666667
0.125	Line 5	195.6
0.133333333333333	Line 1	206.327272727273
0.133333333333333	Line 2	201.4375
0.133333333333333	Line 3	165.866666666667
0.133333333333333	Line 4	173.058823529412
0.133333333333333	Line 5	196.692307692308
0.142857142857143	Line 1	195.380165289256
0.142857142857143	Line 2	196.3125
0.142857142857143	Line 3	180.956521739130
0.142857142857143	Line 4	204.857142857143
0.142857142857143	Line 5	187.952380952381
0.153846153846154	Line 1	200.913043478261
0.153846153846154	Line 2	196.181818181818
0.153846153846154	Line 3	199.348837209302
0.153846153846154	Line 4	201.084745762712
0.153846153846154	Line 5	184.021276595745
0.166666666666667	Line 1	179.267605633803
0.166666666666667	Line 2	196.651162790698
0.166666666666667	Line 3	219.410714285714
0.166666666666667	Line 4	220.48
0.166666666666667	Line 5	210.185185185185
0.176470588235294	Line 2	219.625
0.176470588235294	Line 4	206.875
0.181818181818182	Line 1	202.1
0.181818181818182	Line 2	221
0.181818181818182	Line 3	210.896551724138
0.181818181818182	Line 4	168.842105263158
0.181818181818182	Line 5	203.444444444444
0.1875	Line 1	182.393939393939
0.1875	Line 2	198.809523809524
0.1875	Line 3	194.428571428571
0.1875	Line 4	208.25
0.1875	Line 5	184.666666666667
0.2	Line 1	194.967741935484
0.2	Line 2	211.25
0.2	Line 3	213.038461538462
0.2	Line 4	197.32
0.2	Line 5	195.581395348837
0.210526315789474	Line 1	172.777777777778
0.214285714285714	Line 1	184.056074766355
0.214285714285714	Line 2	198.574074074074
0.214285714285714	Line 3	215.679487179487
0.214285714285714	Line 4	192.283783783784
0.214285714285714	Line 5	216.6
0.222222222222222	Line 3	109
0.222222222222222	Line 4	253
0.222222222222222	Line 5	204.857142857143
0.230769230769231	Line 1	193.588235294118
0.230769230769231	Line 2	218.853658536585
0.230769230769231	Line 3	204.3
0.230769230769231	Line 4	206.092105263158
0.230769230769231	Line 5	214
0.235294117647059	Line 2	171.4
0.235294117647059	Line 4	192.5
0.25	Line 1	186.167938931298
0.25	Line 2	210.541666666667
0.25	Line 3	210.011363636364
0.25	Line 4	205.546511627907
0.25	Line 5	199.810810810811
0.263157894736842	Line 1	117.2
0.266666666666667	Line 1	186.222222222222
0.266666666666667	Line 2	209.714285714286
0.266666666666667	Line 3	206.787234042553
0.266666666666667	Line 4	221.16
0.266666666666667	Line 5	200.411764705882
0.272727272727273	Line 1	204.365384615385
0.272727272727273	Line 2	211.037735849057
0.272727272727273	Line 3	211.823529411765
0.272727272727273	Line 4	204.444444444444
0.272727272727273	Line 5	206.655172413793
0.277777777777778	Line 5	212.75
0.285714285714286	Line 1	187.734042553192
0.285714285714286	Line 2	211.362068965517
0.285714285714286	Line 3	199.44776119403
0.285714285714286	Line 4	199.330578512397
0.285714285714286	Line 5	202.454545454545
0.294117647058824	Line 2	196.866666666667
0.294117647058824	Line 4	201.35
0.3	Line 1	215.909090909091
0.3	Line 2	207.026315789474
0.3	Line 3	223.090909090909
0.3	Line 4	235.444444444444
0.3	Line 5	230
0.307692307692308	Line 1	199.636363636364
0.307692307692308	Line 2	210.3125
0.307692307692308	Line 3	212.726415094340
0.307692307692308	Line 4	214.489130434783
0.307692307692308	Line 5	209.420454545455
0.3125	Line 1	203.761904761905
0.3125	Line 2	204.384615384615
0.3125	Line 3	210.342105263158
0.3125	Line 4	197.885714285714
0.3125	Line 5	208.526315789474
0.315789473684211	Line 1	176.5
0.333333333333333	Line 1	191.956521739130
0.333333333333333	Line 2	210.263513513514
0.333333333333333	Line 3	205.768707482993
0.333333333333333	Line 4	222.146551724138
0.333333333333333	Line 5	220.303703703704
0.352941176470588	Line 2	177.933333333333
0.352941176470588	Line 4	197.052631578947
0.357142857142857	Line 1	206.007692307692
0.357142857142857	Line 2	216.315789473684
0.357142857142857	Line 3	194.361111111111
0.357142857142857	Line 4	202.061946902655
0.357142857142857	Line 5	225.741573033708
0.363636363636364	Line 1	184.196078431373
0.363636363636364	Line 2	224.522222222222
0.363636363636364	Line 3	198.583333333333
0.363636363636364	Line 4	231.967741935484
0.363636363636364	Line 5	176.166666666667
0.368421052631579	Line 1	212.166666666667
0.375	Line 1	209.395833333333
0.375	Line 2	215
0.375	Line 3	184.074074074074
0.375	Line 4	202.206896551724
0.375	Line 5	208.518518518519
0.384615384615385	Line 1	198.2
0.384615384615385	Line 2	215.829457364341
0.384615384615385	Line 3	188.627906976744
0.384615384615385	Line 4	207.73417721519
0.384615384615385	Line 5	209.915662650602
0.388888888888889	Line 5	205.6
0.4	Line 1	201.972602739726
0.4	Line 2	218.083333333333
0.4	Line 3	204.470588235294
0.4	Line 4	193.72
0.4	Line 5	210.028169014085
0.411764705882353	Line 2	196.857142857143
0.411764705882353	Line 4	224.4
0.416666666666667	Line 1	198.604651162791
0.416666666666667	Line 2	216.607142857143
0.416666666666667	Line 3	212.3375
0.416666666666667	Line 4	212.382352941176
0.416666666666667	Line 5	212.384615384615
0.428571428571429	Line 1	199.187969924812
0.428571428571429	Line 2	201.376470588235
0.428571428571429	Line 3	208.628571428571
0.428571428571429	Line 4	203.181034482759
0.428571428571429	Line 5	221.976190476190
0.4375	Line 1	210.596153846154
0.4375	Line 2	189.25
0.4375	Line 3	188.047619047619
0.4375	Line 4	222.5
0.4375	Line 5	250.705882352941
0.444444444444444	Line 1	193.166666666667
0.444444444444444	Line 2	193.25
0.444444444444444	Line 4	234.3
0.444444444444444	Line 5	193.375
0.454545454545455	Line 1	212.442622950820
0.454545454545455	Line 2	197.904255319149
0.454545454545455	Line 3	211.470588235294
0.454545454545455	Line 4	205.620689655172
0.454545454545455	Line 5	197.285714285714
0.461538461538462	Line 1	199.925531914894
0.461538461538462	Line 2	220.338345864662
0.461538461538462	Line 3	207.139534883721
0.461538461538462	Line 4	201.357894736842
0.461538461538462	Line 5	207.170212765957
0.466666666666667	Line 1	192.403225806452
0.466666666666667	Line 2	182.952380952381
0.466666666666667	Line 3	203.642857142857
0.466666666666667	Line 4	209.658536585366
0.466666666666667	Line 5	211.428571428571
0.470588235294118	Line 2	175.571428571429
0.470588235294118	Line 4	180
0.470588235294118	Line 5	229.2
0.5	Line 1	203.595611285266
0.5	Line 2	208.542435424354
0.5	Line 3	206.677419354839
0.5	Line 4	209.174757281553
0.5	Line 5	205.081447963801
0.526315789473684	Line 1	173.833333333333
0.529411764705882	Line 2	189.1875
0.529411764705882	Line 4	235
0.529411764705882	Line 5	225.285714285714
0.533333333333333	Line 1	193.897058823529
0.533333333333333	Line 2	197.855263157895
0.533333333333333	Line 3	194.4
0.533333333333333	Line 4	206.166666666667
0.533333333333333	Line 5	208.648648648649
0.538461538461538	Line 1	196.391752577320
0.538461538461538	Line 2	219.62987012987
0.538461538461538	Line 3	204.432692307692
0.538461538461538	Line 4	198.736
0.538461538461538	Line 5	206.462365591398
0.545454545454545	Line 1	194.161764705882
0.545454545454545	Line 2	197.639639639640
0.545454545454545	Line 3	207.240740740741
0.545454545454545	Line 4	221.764705882353
0.545454545454545	Line 5	222.044444444444
0.555555555555556	Line 2	150.5
0.555555555555556	Line 4	250.071428571429
0.555555555555556	Line 5	202.692307692308
0.5625	Line 1	186.755555555556
0.5625	Line 2	188.837837837838
0.5625	Line 3	187.684210526316
0.5625	Line 4	210.888888888889
0.5625	Line 5	210.8
0.571428571428571	Line 1	208.695035460993
0.571428571428571	Line 2	205.704918032787
0.571428571428571	Line 3	215.52427184466
0.571428571428571	Line 4	195.069620253165
0.571428571428571	Line 5	209.526315789474
0.578947368421053	Line 1	227.4
0.583333333333333	Line 1	201.15873015873
0.583333333333333	Line 2	197.619565217391
0.583333333333333	Line 3	197.153846153846
0.583333333333333	Line 4	219.223529411765
0.583333333333333	Line 5	208.569620253165
0.588235294117647	Line 2	179.526315789474
0.588235294117647	Line 4	177.444444444444
0.6	Line 1	213.456521739130
0.6	Line 2	216.434782608696
0.6	Line 3	216.271739130435
0.6	Line 4	197.931506849315
0.6	Line 5	212.706666666667
0.611111111111111	Line 5	226.5
0.615384615384615	Line 1	195.073170731707
0.615384615384615	Line 2	204.505747126437
0.615384615384615	Line 3	215.977611940299
0.615384615384615	Line 4	195.729411764706
0.615384615384615	Line 5	213.105263157895
0.625	Line 1	205.842105263158
0.625	Line 2	190.862068965517
0.625	Line 3	208.384615384615
0.625	Line 4	222.517857142857
0.625	Line 5	195.7
0.631578947368421	Line 1	202.4
0.636363636363636	Line 1	198.022222222222
0.636363636363636	Line 2	198.47
0.636363636363636	Line 3	220
0.636363636363636	Line 4	214.213114754098
0.636363636363636	Line 5	210.961538461538
0.642857142857143	Line 1	199.242038216561
0.642857142857143	Line 2	202.034782608696
0.642857142857143	Line 3	193.980582524272
0.642857142857143	Line 4	196.0390625
0.642857142857143	Line 5	206.608695652174
0.647058823529412	Line 2	186.7
0.647058823529412	Line 4	219.777777777778
0.647058823529412	Line 5	263
0.666666666666667	Line 1	201.574850299401
0.666666666666667	Line 2	201.134751773050
0.666666666666667	Line 3	196.119318181818
0.666666666666667	Line 4	215.447204968944
0.666666666666667	Line 5	217.645348837209
0.68421052631579	Line 1	162.8
0.6875	Line 1	195.666666666667
0.6875	Line 2	232
0.6875	Line 3	189.692307692308
0.6875	Line 4	183.678571428571
0.6875	Line 5	205.166666666667
0.692307692307692	Line 1	211.75
0.692307692307692	Line 2	202.783132530120
0.692307692307692	Line 3	204.496453900709
0.692307692307692	Line 4	211.729927007299
0.692307692307692	Line 5	204.6875
0.7	Line 1	211.357142857143
0.7	Line 2	210.780487804878
0.7	Line 3	240.484848484849
0.7	Line 4	229.115384615385
0.7	Line 5	227.289473684211
0.705882352941177	Line 2	176.217391304348
0.705882352941177	Line 4	187
0.705882352941177	Line 5	272.8
0.714285714285714	Line 1	191.319327731092
0.714285714285714	Line 2	209.252631578947
0.714285714285714	Line 3	205.340579710145
0.714285714285714	Line 4	208.266187050360
0.714285714285714	Line 5	193.333333333333
0.722222222222222	Line 1	237.6
0.722222222222222	Line 2	167
0.722222222222222	Line 5	204.333333333333
0.727272727272727	Line 1	211.11320754717
0.727272727272727	Line 2	204.635416666667
0.727272727272727	Line 3	201.454545454545
0.727272727272727	Line 4	190.766666666667
0.727272727272727	Line 5	208.135593220339
0.733333333333333	Line 1	208.416666666667
0.733333333333333	Line 2	196.072463768116
0.733333333333333	Line 3	188.916666666667
0.733333333333333	Line 4	195.414634146341
0.733333333333333	Line 5	204.964285714286
0.736842105263158	Line 1	160.857142857143
0.75	Line 1	204.302325581395
0.75	Line 2	205.664
0.75	Line 3	201.575581395349
0.75	Line 4	201.980769230769
0.75	Line 5	205.267241379310
0.764705882352941	Line 2	180.666666666667
0.764705882352941	Line 4	210.222222222222
0.764705882352941	Line 5	257.5
0.769230769230769	Line 1	207.376344086022
0.769230769230769	Line 2	188.788819875776
0.769230769230769	Line 3	207.959349593496
0.769230769230769	Line 4	197.462365591398
0.769230769230769	Line 5	209.075
0.777777777777778	Line 1	189.785714285714
0.777777777777778	Line 2	193.75
0.777777777777778	Line 4	261.333333333333
0.777777777777778	Line 5	218.833333333333
0.785714285714286	Line 1	207.197530864198
0.785714285714286	Line 2	213.840764331210
0.785714285714286	Line 3	190.848484848485
0.785714285714286	Line 4	206.605042016807
0.785714285714286	Line 5	206.846153846154
0.789473684210526	Line 1	205.833333333333
0.8	Line 1	201.689189189189
0.8	Line 2	207.090909090909
0.8	Line 3	202.260273972603
0.8	Line 4	205.217391304348
0.8	Line 5	222.656716417910
0.8125	Line 1	199.738095238095
0.8125	Line 2	193.64
0.8125	Line 3	193.930232558140
0.8125	Line 4	191.137931034483
0.8125	Line 5	183.333333333333
0.818181818181818	Line 1	189.228571428571
0.818181818181818	Line 2	212.771428571429
0.818181818181818	Line 3	203.692307692308
0.818181818181818	Line 4	215.463414634146
0.818181818181818	Line 5	219.102941176471
0.823529411764706	Line 2	205.933333333333
0.823529411764706	Line 4	183.875
0.823529411764706	Line 5	144
0.833333333333333	Line 1	198.763888888889
0.833333333333333	Line 2	196.894736842105
0.833333333333333	Line 3	203.007518796992
0.833333333333333	Line 4	225.109375
0.833333333333333	Line 5	204.406976744186
0.846153846153846	Line 1	209.287128712871
0.846153846153846	Line 2	194.736842105263
0.846153846153846	Line 3	192.682170542636
0.846153846153846	Line 4	191.947916666667
0.846153846153846	Line 5	205.841463414634
0.857142857142857	Line 1	210.508771929825
0.857142857142857	Line 2	205.129213483146
0.857142857142857	Line 3	198.296610169492
0.857142857142857	Line 4	204.147058823529
0.857142857142857	Line 5	216.629629629630
0.866666666666667	Line 1	188.344827586207
0.866666666666667	Line 2	217.419354838710
0.866666666666667	Line 3	215.394736842105
0.866666666666667	Line 4	198.34693877551
0.866666666666667	Line 5	223.673913043478
0.875	Line 1	186.03125
0.875	Line 2	216.392857142857
0.875	Line 3	205.685714285714
0.875	Line 4	178.976190476190
0.875	Line 5	197.909090909091
0.88235294117647	Line 2	173.75
0.88235294117647	Line 4	180.545454545455
0.88235294117647	Line 5	243.25
0.888888888888889	Line 1	180.2
0.888888888888889	Line 2	195.125
0.888888888888889	Line 4	229.933333333333
0.888888888888889	Line 5	228.9375
0.9	Line 1	223.5
0.9	Line 2	204.564102564103
0.9	Line 3	214.952380952381
0.9	Line 4	213.772727272727
0.9	Line 5	256.95
0.909090909090909	Line 1	203.634615384615
0.909090909090909	Line 2	200.96875
0.909090909090909	Line 3	215.712328767123
0.909090909090909	Line 4	197.125
0.909090909090909	Line 5	251.916666666667
0.916666666666667	Line 1	194.853846153846
0.916666666666667	Line 2	198.685393258427
0.916666666666667	Line 3	203.356521739130
0.916666666666667	Line 4	183.380281690141
0.916666666666667	Line 5	237.264705882353
0.923076923076923	Line 1	191.018691588785
0.923076923076923	Line 2	203.472049689441
0.923076923076923	Line 3	197.022900763359
0.923076923076923	Line 4	185.260869565217
0.923076923076923	Line 5	221.45
0.928571428571429	Line 1	194.97
0.928571428571429	Line 2	198.06875
0.928571428571429	Line 3	180.52427184466
0.928571428571429	Line 4	186.358208955224
0.928571428571429	Line 5	206.125
0.933333333333333	Line 1	170.490566037736
0.933333333333333	Line 2	176.890410958904
0.933333333333333	Line 3	184.314285714286
0.933333333333333	Line 4	189.869565217391
0.933333333333333	Line 5	239.736842105263
0.9375	Line 1	199.354166666667
0.9375	Line 2	195.791666666667
0.9375	Line 3	170.194444444444
0.9375	Line 4	198.487179487180
0.9375	Line 5	206.727272727273
0.941176470588235	Line 1	177.75
0.941176470588235	Line 2	188.666666666667
0.941176470588235	Line 4	208.1
0.941176470588235	Line 5	226.333333333333
0.944444444444444	Line 2	161
0.947368421052632	Line 1	201
