relwnS	nwS	lmod	dur
0.428571428571429	14	Line 3	203.037974683544
0.428571428571429	14	Line 4	201.844827586207
0.428571428571429	14	Line 5	208.615384615385
0.444444444444444	9	Line 1	182.35
0.444444444444444	9	Line 2	203.566037735849
0.444444444444444	9	Line 3	207.4
0.444444444444444	9	Line 4	207.819444444444
0.444444444444444	9	Line 5	195.583333333333
0.454545454545455	11	Line 1	202.611842105263
0.454545454545455	11	Line 2	211.578947368421
0.454545454545455	11	Line 3	207.105263157895
0.454545454545455	11	Line 4	207.836734693878
0.454545454545455	11	Line 5	248.085106382979
0.461538461538462	13	Line 1	180.675
0.461538461538462	13	Line 2	207.214285714286
0.461538461538462	13	Line 3	203.020833333333
0.461538461538462	13	Line 4	215.714285714286
0.461538461538462	13	Line 5	201.483870967742
0.466666666666667	15	Line 1	206.083333333333
0.466666666666667	15	Line 2	203.243421052632
0.466666666666667	15	Line 3	192.324324324324
0.466666666666667	15	Line 4	213.353846153846
0.466666666666667	15	Line 5	208.16
0.5	6	Line 1	232.395833333333
0.5	6	Line 2	192.671641791045
0.5	6	Line 3	203.466666666667
0.5	6	Line 4	212.285714285714
0.5	6	Line 5	228.955555555556
0.5	8	Line 1	200.469387755102
0.5	8	Line 2	212.322033898305
0.5	8	Line 3	213.521126760563
0.5	8	Line 4	217.063829787234
0.5	8	Line 5	203.054054054054
0.5	10	Line 1	188.65625
0.5	10	Line 2	181.980769230769
0.5	10	Line 3	216.944444444444
0.5	10	Line 4	196.307692307692
0.5	10	Line 5	192.288888888889
0.5	12	Line 1	198.127272727273
0.5	12	Line 2	207.339805825243
0.5	12	Line 3	189.342857142857
0.5	12	Line 4	186.44578313253
0.5	12	Line 5	206.904761904762
0.5	14	Line 1	191.542372881356
0.5	14	Line 2	197.382978723404
0.5	14	Line 3	211.280487804878
0.5	14	Line 4	194.55
0.5	14	Line 5	209.245283018868
0.533333333333333	15	Line 1	199.964912280702
0.533333333333333	15	Line 2	207.748251748252
0.533333333333333	15	Line 3	198.761904761905
0.533333333333333	15	Line 4	200.408163265306
0.533333333333333	15	Line 5	194.2
0.538461538461538	13	Line 1	198.864864864865
0.538461538461538	13	Line 2	202.446428571429
0.538461538461538	13	Line 3	200.963636363636
0.538461538461538	13	Line 4	218.714285714286
0.538461538461538	13	Line 5	211.09375
0.545454545454545	11	Line 1	203.079710144928
0.545454545454545	11	Line 2	214.851851851852
0.545454545454545	11	Line 3	195.333333333333
0.545454545454545	11	Line 4	179.38
0.545454545454545	11	Line 5	226.479166666667
0.555555555555556	9	Line 1	205.725
0.555555555555556	9	Line 2	207.578947368421
0.555555555555556	9	Line 3	203.849056603774
0.555555555555556	9	Line 4	190.685185185185
0.555555555555556	9	Line 5	226.584615384615
0.571428571428571	7	Line 1	237.227272727273
0.571428571428571	7	Line 2	217.883333333333
0.571428571428571	7	Line 3	215.08
0.571428571428571	7	Line 4	198.375
0.571428571428571	7	Line 5	217.906976744186
0.571428571428571	14	Line 1	223.440677966102
0.571428571428571	14	Line 2	215.131147540984
0.571428571428571	14	Line 3	195.096385542169
0.571428571428571	14	Line 4	188.65
0.571428571428571	14	Line 5	207.901960784314
0.583333333333333	12	Line 1	197.456790123457
0.583333333333333	12	Line 2	219.769230769231
0.583333333333333	12	Line 3	200.03125
0.583333333333333	12	Line 4	188.614457831325
0.583333333333333	12	Line 5	217.645161290323
0.6	5	Line 1	198.484848484848
0.6	5	Line 2	205.549019607843
0.6	5	Line 3	160.631578947368
0.6	5	Line 4	214.095238095238
0.6	5	Line 5	198.448275862069
0.6	10	Line 1	184.506493506494
0.6	10	Line 2	194.7375
0.6	10	Line 3	202.523809523810
0.6	10	Line 4	201.576271186441
0.6	10	Line 5	199.375
0.6	15	Line 1	193.396226415094
0.6	15	Line 2	207.786764705882
0.6	15	Line 3	185.745098039216
0.6	15	Line 4	213.260273972603
0.6	15	Line 5	201.491803278689
0.615384615384615	13	Line 1	184.610169491525
0.615384615384615	13	Line 2	213.985294117647
0.615384615384615	13	Line 3	204.677419354839
0.615384615384615	13	Line 4	218.857142857143
0.615384615384615	13	Line 5	209.472222222222
0.625	8	Line 1	186.132075471698
0.625	8	Line 2	206.78125
0.625	8	Line 3	187.6
0.625	8	Line 4	197.181818181818
0.625	8	Line 5	198.9
0.636363636363636	11	Line 1	201.2
0.636363636363636	11	Line 2	198.226415094340
0.636363636363636	11	Line 3	189.444444444444
0.636363636363636	11	Line 4	208.322033898305
0.636363636363636	11	Line 5	214.783783783784
0.642857142857143	14	Line 1	222.904761904762
0.642857142857143	14	Line 2	221.38
0.642857142857143	14	Line 3	198.811764705882
0.642857142857143	14	Line 4	201.959183673469
0.642857142857143	14	Line 5	216.169811320755
0.666666666666667	6	Line 1	213.263157894737
0.666666666666667	6	Line 2	179.45
0.666666666666667	6	Line 3	195.405405405405
0.666666666666667	6	Line 4	203.575757575758
0.666666666666667	6	Line 5	209.090909090909
0.666666666666667	9	Line 1	194.926829268293
0.666666666666667	9	Line 2	208.03125
0.666666666666667	9	Line 3	195.307692307692
0.666666666666667	9	Line 4	206.492753623188
0.666666666666667	9	Line 5	201.446428571429
0.666666666666667	12	Line 1	183.428571428571
0.666666666666667	12	Line 2	205.170454545455
0.666666666666667	12	Line 3	207.941176470588
0.666666666666667	12	Line 4	202.573170731707
0.666666666666667	12	Line 5	176.740740740741
0.666666666666667	15	Line 1	196.8
0.666666666666667	15	Line 2	207.526717557252
0.666666666666667	15	Line 3	187.295774647887
0.666666666666667	15	Line 4	198.428571428571
0.666666666666667	15	Line 5	197.079365079365
0.692307692307692	13	Line 1	201.880597014925
0.692307692307692	13	Line 2	183.803278688525
0.692307692307692	13	Line 3	226.960784313725
0.692307692307692	13	Line 4	194.84375
0.692307692307692	13	Line 5	198.541666666667
0.7	10	Line 1	199.717391304348
0.7	10	Line 2	183.913793103448
0.7	10	Line 3	204.964912280702
0.7	10	Line 4	198.818181818182
0.7	10	Line 5	210.338028169014
0.714285714285714	7	Line 1	188.357142857143
0.714285714285714	7	Line 2	211.035087719298
0.714285714285714	7	Line 3	223.451612903226
0.714285714285714	7	Line 4	237.682926829268
0.714285714285714	7	Line 5	214.693877551020
0.714285714285714	14	Line 1	193.256410256410
0.714285714285714	14	Line 2	216.071428571429
0.714285714285714	14	Line 3	199.113924050633
0.714285714285714	14	Line 4	211.018518518519
0.714285714285714	14	Line 5	210.083333333333
0.727272727272727	11	Line 1	196.346153846154
0.727272727272727	11	Line 2	219.695652173913
0.727272727272727	11	Line 3	200.333333333333
0.727272727272727	11	Line 4	198.215686274510
0.727272727272727	11	Line 5	206
0.733333333333333	15	Line 1	214.607843137255
0.733333333333333	15	Line 2	200.964912280702
0.733333333333333	15	Line 3	197.96875
0.733333333333333	15	Line 4	210.108433734940
0.733333333333333	15	Line 5	232.692307692308
0.75	8	Line 1	193.340425531915
0.75	8	Line 2	204.957746478873
0.75	8	Line 3	194.307692307692
0.75	8	Line 4	200.803278688525
0.75	8	Line 5	217.575757575758
0.75	12	Line 1	216.101694915254
0.75	12	Line 2	204.047619047619
0.75	12	Line 3	212.72131147541
0.75	12	Line 4	202.983606557377
0.75	12	Line 5	211.323529411765
0.769230769230769	13	Line 1	193.238805970149
0.769230769230769	13	Line 2	187.354166666667
0.769230769230769	13	Line 3	216.755555555556
0.769230769230769	13	Line 4	215.631578947368
0.769230769230769	13	Line 5	194.837209302326
0.777777777777778	9	Line 1	199.866666666667
0.777777777777778	9	Line 2	229.08
0.777777777777778	9	Line 3	205.413793103448
0.777777777777778	9	Line 4	202
0.777777777777778	9	Line 5	212.632653061225
0.785714285714286	14	Line 1	210.090909090909
0.785714285714286	14	Line 2	214.939393939394
0.785714285714286	14	Line 3	203.666666666667
0.785714285714286	14	Line 4	210.692307692308
0.785714285714286	14	Line 5	223.090909090909
0.8	5	Line 1	192.377777777778
0.8	5	Line 2	199.027027027027
0.8	5	Line 3	214.538461538462
0.8	5	Line 4	201.227272727273
0.8	5	Line 5	196.708333333333
0.8	10	Line 1	207.571428571429
0.8	10	Line 2	181.245614035088
0.8	10	Line 3	201.986111111111
0.8	10	Line 4	215.120481927711
0.8	10	Line 5	224.739130434783
0.8	15	Line 1	220.88
0.8	15	Line 2	207.462686567164
0.8	15	Line 3	194.246753246753
0.8	15	Line 4	193.448275862069
0.8	15	Line 5	212.659090909091
0.818181818181818	11	Line 1	193.0390625
0.818181818181818	11	Line 2	196.368421052632
0.818181818181818	11	Line 3	205.833333333333
0.818181818181818	11	Line 4	203.59375
0.818181818181818	11	Line 5	233.735849056604
0.833333333333333	6	Line 1	162.5625
0.833333333333333	6	Line 2	186.230769230769
0.833333333333333	6	Line 3	192.219512195122
0.833333333333333	6	Line 4	198.735294117647
0.833333333333333	6	Line 5	183.439024390244
0.833333333333333	12	Line 1	177.964285714286
0.833333333333333	12	Line 2	203.188888888889
0.833333333333333	12	Line 3	202.775862068966
0.833333333333333	12	Line 4	201.180555555556
0.833333333333333	12	Line 5	186
0.846153846153846	13	Line 1	193.40625
0.846153846153846	13	Line 2	207.368421052632
0.846153846153846	13	Line 3	206.463414634146
0.846153846153846	13	Line 4	221.085106382979
0.846153846153846	13	Line 5	230.435897435897
0.857142857142857	7	Line 1	205.95
0.857142857142857	7	Line 2	210.287878787879
0.857142857142857	7	Line 3	209.133333333333
0.857142857142857	7	Line 4	199.185185185185
0.857142857142857	7	Line 5	193.46
0.857142857142857	14	Line 1	210.824324324324
0.857142857142857	14	Line 2	173.518518518519
0.857142857142857	14	Line 3	185.363636363636
0.857142857142857	14	Line 4	193.696428571429
0.857142857142857	14	Line 5	200.542372881356
0.866666666666667	15	Line 1	200.224489795918
0.866666666666667	15	Line 2	196.027272727273
0.866666666666667	15	Line 3	201.026086956522
0.866666666666667	15	Line 4	184.459459459459
0.866666666666667	15	Line 5	180.651162790698
0.875	8	Line 1	189.944444444444
0.875	8	Line 2	199.629629629630
0.875	8	Line 3	214.355932203390
0.875	8	Line 4	213.636363636364
0.875	8	Line 5	223.342857142857
0.888888888888889	9	Line 1	221.261904761905
0.888888888888889	9	Line 2	201.884615384615
0.888888888888889	9	Line 3	196.477272727273
0.888888888888889	9	Line 4	213.178082191781
0.888888888888889	9	Line 5	219.35
0.9	10	Line 1	204.444444444444
0.9	10	Line 2	199.372549019608
0.9	10	Line 3	205.324675324675
0.9	10	Line 4	207.606060606061
0.9	10	Line 5	222.160714285714
0.909090909090909	11	Line 1	200.091836734694
0.909090909090909	11	Line 2	211.875
0.909090909090909	11	Line 3	209.705882352941
0.909090909090909	11	Line 4	218.538461538462
0.909090909090909	11	Line 5	209.592592592593
0.916666666666667	12	Line 1	201.68
0.916666666666667	12	Line 2	200.957746478873
0.916666666666667	12	Line 3	189.162790697674
0.916666666666667	12	Line 4	210.896551724138
0.916666666666667	12	Line 5	204.735294117647
0.923076923076923	13	Line 1	198.111111111111
0.923076923076923	13	Line 2	185.235294117647
0.923076923076923	13	Line 3	198.470588235294
0.923076923076923	13	Line 4	211.857142857143
0.923076923076923	13	Line 5	214.083333333333
0.928571428571429	14	Line 1	177.684931506849
0.928571428571429	14	Line 2	227.535714285714
0.928571428571429	14	Line 3	215.808510638298
0.928571428571429	14	Line 4	195.642857142857
0.928571428571429	14	Line 5	209.35593220339
0.933333333333333	15	Line 1	206.380952380952
0.933333333333333	15	Line 2	188.292929292929
0.933333333333333	15	Line 3	193.864583333333
0.933333333333333	15	Line 4	214.771428571429
0.933333333333333	15	Line 5	203.478260869565
